gene	drug	regulatory approval	indication	interaction score
ODC1	EFLORNITHINE	Approved	for treatment of unwanted facial hair in women	2.847479921393756
ODC1	VINCRISTINE	Approved	antineoplastic agent	0.2577965360932619
ODC1	EFLORNITHINE HYDROCHLORIDE	Approved	""	10.4407597117771
ODC1	APA	Not Approved	""	10.4407597117771
ODC1	EFLORNITHINE	Not Approved	""	2.088151942355421
HMGB2	BELZUTIFAN	Not Approved	""	26.10189927944276
HMGB2	PT2385	Not Approved	""	26.10189927944276
ATF1	&ALPHA;-CONOTOXIN TXIA	Not Approved	""	6.525474819860691
ATF1	&ALPHA;-CONOTOXIN PNIA	Not Approved	""	6.525474819860691
ATF1	&ALPHA;-CONOTOXIN MII	Not Approved	""	4.350316546573794
ATF1	&ALPHA;-CONOTOXIN-GIC	Not Approved	""	6.525474819860691
PSMD6	CARFILZOMIB	Approved	antineoplastic agent	0.5800422062098393
PSMD6	IXAZOMIB CITRATE	Approved	antineoplastic agent	0.2230931562345535
PSMD6	IXAZOMIB	Approved	""	0.2071579307892282
PSMD6	BORTEZOMIB	Approved	antineoplastic agent	0.4094415573245924
PSMD6	BORTEZOMIB D-MANNITOL	Approved	""	0.2289640287670418
PSMD6	OPROZOMIB	Not Approved	antineoplastic agent	0.2175158273286897
NDUFA5	NV-128	Not Approved	""	0.3480253237259035
NDUFA5	METFORMIN HYDROCHLORIDE	Approved	""	0.3107368961838425
NDUFA5	ME-344	Not Approved	""	0.3412012977704936
NDUFAB1	NV-128	Not Approved	""	0.3480253237259035
NDUFAB1	METFORMIN HYDROCHLORIDE	Approved	""	0.3107368961838425
NDUFAB1	ME-344	Not Approved	""	0.3412012977704936
